Planning_Area,Total,All_bus,Bus_only,MRT_only,MRT_and_bus_only,MRT_bus_other,Taxi_only,Car_only,private_bus_van,Lorry_only,Motorcycle_scooter,Others,No_transport
TOTAL,2147.8,0.66133,0.164633579,0.119983239,0.248347146,0.248347146,0.013222833,0.218828569,0.027144054,0.019927368,0.034081386,0.014945526,0.085063786
ANG MO KIO,100.9,0.69376,0.164519326,0.164519326,0.264618434,0.264618434,0.010901883,0.205153617,0.023785927,0.022794846,0.029732408,0.013875124,0.102081269
BEDOK,150.1,0.68021,0.216522318,0.216522318,0.231845436,0.231845436,0.019986676,0.245836109,0.020652898,0.01332445,0.034643571,0.013990673,0.083944037
BISHAN,49.4,0.69231,0.125506073,0.125506073,0.28340081,0.28340081,0.012145749,0.289473684,0.01417004,0.01417004,0.016194332,0.004048583,0.072874494
BUKIT BATOK,75.5,0.63046,0.143046358,0.143046358,0.243708609,0.243708609,0.006622517,0.233112583,0.033112583,0.02384106,0.033112583,0.010596026,0.080794702
BUKIT MERAH,82,0.73659,0.268292683,0.268292683,0.234146341,0.234146341,0.017073171,0.180487805,0.009756098,0.012195122,0.024390244,0.008536585,0.103658537
BUKIT PANJANG,80.1,0.50437,0.222222222,0.222222222,0.141073658,0.141073658,0.011235955,0.267166042,0.04494382,0.027465668,0.04619226,0.018726592,0.061173533
BUKIT TIMAH,36.8,0.39946,0.095108696,0.095108696,0.152173913,0.152173913,0.016304348,0.538043478,0.008152174,0.005434783,0.005434783,0.019021739,0.073369565
CHOA CHU KANG,97.1,0.63749,0.093717817,0.093717817,0.271884655,0.271884655,0.006179197,0.199794027,0.043254377,0.024716787,0.035015448,0.012358393,0.067971164
CLEMENTI,45.9,0.73420,0.193899782,0.193899782,0.270152505,0.270152505,0.013071895,0.235294118,0.015250545,0.015250545,0.02832244,0.015250545,0.078431373
GEYLANG,61.2,0.72549,0.189542484,0.189542484,0.267973856,0.267973856,0.008169935,0.174836601,0.008169935,0.013071895,0.029411765,0.022875817,0.125816993
HOUGANG,120.7,0.75559,0.198840099,0.198840099,0.278376139,0.278376139,0.009113505,0.224523612,0.025683513,0.026512013,0.029826015,0.012427506,0.085335543
JURONG EAST,45.9,0.72985,0.215686275,0.215686275,0.25708061,0.25708061,0.010893246,0.187363834,0.043572985,0.02832244,0.037037037,0.006535948,0.080610022
JURONG WEST,158.3,0.67025,0.147188882,0.147188882,0.261528743,0.261528743,0.009475679,0.18572331,0.070751737,0.037902716,0.042956412,0.020846494,0.070751737
KALLANG,55.4,0.66426,0.155234657,0.155234657,0.254512635,0.254512635,0.018050542,0.180505415,0.010830325,0.019855596,0.025270758,0.018050542,0.102888087
MARINA PARADE,21.4,0.60280,0.26635514,0.26635514,0.168224299,0.168224299,0.028037383,0.35046729,0.004672897,0,0.009345794,0.018691589,0.079439252
NOVENA,23.8,0.61345,0.210084034,0.210084034,0.201680672,0.201680672,0.029411765,0.298319328,0.008403361,0.008403361,0.021008403,0.016806723,0.113445378
OUTRAM,11.7,0.67521,0.145299145,0.145299145,0.264957265,0.264957265,0.008547009,0.11965812,0.017094017,0,0.017094017,0.017094017,0.256410256
PASIR RIS,78,0.66667,0.148717949,0.148717949,0.258974359,0.258974359,0.024358974,0.258974359,0.020512821,0.011538462,0.043589744,0.019230769,0.078205128
PUNGGOL,60.3,0.48922,0.104477612,0.104477612,0.192371476,0.192371476,0.009950249,0.258706468,0.021558872,0.011608624,0.033167496,0.013266998,0.056384743
QUEENSTOWN,48.9,0.66871,0.18609407,0.18609407,0.241308793,0.241308793,0.014314928,0.200408998,0.020449898,0.006134969,0.020449898,0.00204499,0.096114519
SEMBAWANG,47.2,0.62924,0.086864407,0.086864407,0.271186441,0.271186441,0.004237288,0.18220339,0.021186441,0.016949153,0.038135593,0.016949153,0.069915254
SENGKANG,124.1,0.50282,0.140209508,0.140209508,0.181305399,0.181305399,0.00886382,0.207091056,0.020145044,0.018533441,0.03626108,0.016921837,0.066075745
SERANGOON,68.1,0.66079,0.143906021,0.143906021,0.258443465,0.258443465,0.017621145,0.296622614,0.010279001,0.014684288,0.019089574,0.002936858,0.079295154
TAMPINES,152.4,0.69751,0.204068241,0.204068241,0.24671916,0.24671916,0.016404199,0.19816273,0.032808399,0.016404199,0.043307087,0.016404199,0.080052493
TANGLIN,8.9,0.35955,0.08988764,0.08988764,0.134831461,0.134831461,0.06741573,0.550561798,0.011235955,0,0.011235955,0.033707865,0.056179775
TOA PAYOH,68.8,0.73837,0.165697674,0.165697674,0.286337209,0.286337209,0.010174419,0.162790698,0.021802326,0.013081395,0.023255814,0.011627907,0.103197674
WOODLANDS,134.8,0.73368,0.119436202,0.119436202,0.307121662,0.307121662,0.011869436,0.158011869,0.029673591,0.028189911,0.054896142,0.021513353,0.080118694
YISHUN,119,0.74202,0.135294118,0.135294118,0.303361345,0.303361345,0.007563025,0.157142857,0.024369748,0.031092437,0.039495798,0.015966387,0.097478992
