Planning_Area,Total,1_Quartile,Below_1000,1000_1499,1500_1999,2_Quartile,2000_2499,2500_2999,3000_3999,3_Quartile,4000_4999,5000_5999,6000_6999,4_Quartile,7000_7999,8000_8999,9000_9999,10000_10999,11000_11999,12000_Above,
TOTAL,"2,151.9 ",0.23579,0.08072,0.08588,0.06919,0.26349,0.07459,0.06376,0.12515,0.24634,0.10135,0.08323,0.06176,0.25438,0.04796,0.03945,0.02798,0.02667,0.01696,0.09536,
ANG MO KIO,101.2 ,0.29348,0.09585,0.11957,0.07806,0.25395,0.07312,0.06719,0.11364,0.23419,0.09684,0.07806,0.05929,0.21937,0.03953,0.03063,0.02174,0.02569,0.01680,0.08498,
BEDOK,150.3 ,0.25216,0.08117,0.09049,0.08051,0.24285,0.06454,0.06387,0.11444,0.23154,0.08916,0.08117,0.06121,0.27345,0.03593,0.03393,0.02661,0.02994,0.01796,0.12908,
BISHAN,49.5 ,0.19798,0.07879,0.07475,0.04444,0.20000,0.05859,0.04848,0.09293,0.22626,0.09495,0.07677,0.05455,0.37778,0.05657,0.06263,0.03636,0.03636,0.03232,0.15354,
BUKIT BATOK,75.6 ,0.23545,0.08069,0.08598,0.06878,0.25529,0.07672,0.06481,0.11376,0.24735,0.10053,0.08862,0.05820,0.26323,0.04630,0.03439,0.03175,0.03307,0.01984,0.09788,
BUKIT MERAH,82.2 ,0.29927,0.10341,0.11192,0.08394,0.23479,0.08029,0.05353,0.10097,0.20925,0.08516,0.06691,0.05718,0.25547,0.05109,0.03650,0.02555,0.02676,0.01825,0.09732,
BUKIT PANJANG,80.1 ,0.20974,0.06367,0.08115,0.06492,0.29089,0.07865,0.08115,0.13109,0.26217,0.10362,0.08989,0.06866,0.23596,0.04744,0.04245,0.03246,0.02497,0.01248,0.07615,
BUKIT TIMAH,36.8 ,0.12772,0.05707,0.03804,0.03261,0.10870,0.03261,0.01902,0.05707,0.16848,0.05435,0.07880,0.03533,0.59783,0.05163,0.04348,0.04076,0.05978,0.02989,0.37228,
CHOA CHU KANG,97.2 ,0.22016,0.07510,0.08025,0.06481,0.29321,0.07716,0.06687,0.14918,0.25206,0.10905,0.08230,0.06070,0.23663,0.05556,0.05144,0.02675,0.02263,0.01337,0.06687,
CLEMENTI,45.9 ,0.21351,0.08279,0.07843,0.05229,0.21569,0.05011,0.05664,0.10893,0.23965,0.09368,0.07843,0.06754,0.33769,0.06972,0.03704,0.03922,0.03704,0.02179,0.13290,
GEYLANG,61.4 ,0.27362,0.10586,0.09609,0.07166,0.27036,0.08632,0.05700,0.12704,0.22150,0.09283,0.07166,0.05700,0.23127,0.03909,0.03909,0.03257,0.02443,0.01629,0.07980,
HOUGANG,120.8 ,0.24089,0.08361,0.08940,0.06788,0.29056,0.08609,0.06374,0.14073,0.25083,0.09768,0.09189,0.06126,0.21689,0.04139,0.03394,0.02318,0.02649,0.01573,0.07616,
JURONG EAST,46.1 ,0.25380,0.09328,0.08894,0.07158,0.27332,0.07809,0.08243,0.11280,0.25597,0.11714,0.07809,0.06074,0.21692,0.04772,0.03688,0.02169,0.02603,0.01085,0.07375,
JURONG WEST,158.7 ,0.24449,0.08444,0.08696,0.07309,0.29112,0.07750,0.06994,0.14367,0.26213,0.12161,0.08570,0.05482,0.20101,0.06049,0.03655,0.02520,0.01890,0.01134,0.04852,
KALLANG,55.4 ,0.25271,0.07762,0.10469,0.07040,0.27076,0.08664,0.05596,0.12816,0.21841,0.08664,0.06859,0.06318,0.25632,0.03791,0.02888,0.03069,0.02347,0.01625,0.11913,
MARINE PARADE,21.5 ,0.19535,0.07442,0.05581,0.06512,0.19535,0.04186,0.04651,0.10698,0.20930,0.08372,0.07442,0.05116,0.40465,0.04651,0.04651,0.03256,0.03256,0.02326,0.22326,
NOVENA,23.8 ,0.21008,0.06303,0.08824,0.05882,0.17647,0.04622,0.03782,0.09244,0.20588,0.07983,0.06723,0.05882,0.39916,0.03782,0.02521,0.02941,0.03782,0.02521,0.24370,
OUTRAM,11.7 ,0.30769,0.07692,0.16239,0.06838,0.22222,0.05983,0.05983,0.10256,0.22222,0.07692,0.07692,0.06838,0.23077,0.02564,0.04274,0.00855,0.03419,0.01709,0.10256,
PASIR RIS,78.0 ,0.20256,0.08974,0.05641,0.05641,0.25513,0.07308,0.05513,0.12692,0.27051,0.11538,0.08462,0.07051,0.27051,0.04359,0.04231,0.03718,0.02692,0.01923,0.10128,
PUNGGOL,60.4 ,0.15894,0.05960,0.05298,0.04636,0.22517,0.04967,0.05795,0.11755,0.29470,0.10265,0.10099,0.09106,0.31954,0.08113,0.06291,0.04636,0.02815,0.02483,0.07616,
QUEENSTOWN,49.2 ,0.23984,0.08333,0.08537,0.07114,0.22561,0.06504,0.06301,0.09756,0.23984,0.09756,0.07724,0.06504,0.29065,0.04675,0.04065,0.03252,0.03049,0.02236,0.11789,
SEMBAWANG,47.3 ,0.20719,0.06765,0.07611,0.06342,0.28118,0.08668,0.05497,0.13953,0.26638,0.09302,0.09514,0.07822,0.24313,0.06765,0.04651,0.03594,0.02960,0.01480,0.04863,
SENGKANG,124.3 ,0.18584,0.06034,0.06356,0.06195,0.27595,0.07965,0.06436,0.13194,0.27434,0.11424,0.08930,0.07080,0.26468,0.05953,0.04988,0.02977,0.03218,0.01850,0.07482,
SERANGOON,68.2 ,0.21114,0.06745,0.08651,0.05718,0.23900,0.06452,0.04692,0.12757,0.24047,0.09531,0.08944,0.05572,0.30938,0.04106,0.03226,0.02639,0.02786,0.02493,0.15689,
TAMPINES,152.8 ,0.23691,0.08508,0.08312,0.06872,0.27880,0.07657,0.06741,0.13482,0.26047,0.11060,0.08377,0.06610,0.22251,0.04647,0.03665,0.02225,0.02421,0.01702,0.07592,
TANGLIN,9.0 ,0.07778,0.06667,0.01111,0.00000,0.08889,0.03333,0.01111,0.04444,0.14444,0.08889,0.03333,0.02222,0.68889,0.05556,0.04444,0.01111,0.03333,0.01111,0.53333,
TOA PAYOH,68.9 ,0.25544,0.09144,0.09144,0.07257,0.26851,0.07547,0.07112,0.12192,0.23367,0.10305,0.07837,0.05225,0.24238,0.04209,0.03628,0.02758,0.02758,0.02032,0.08853,
WOODLANDS,134.8 ,0.26039,0.08086,0.08828,0.09125,0.31306,0.09644,0.08160,0.13501,0.26409,0.11053,0.08457,0.06899,0.16320,0.04525,0.03635,0.02226,0.01632,0.00742,0.03561,
YISHUN,119.3 ,0.28248,0.08634,0.10981,0.08634,0.31182,0.08550,0.07544,0.15088,0.23806,0.10310,0.08634,0.04862,0.16764,0.03856,0.03856,0.02347,0.01844,0.01090,0.03772,
